,sentiment,content
682,worry,mention thought best friend
683,neutral,woke go school
684,sadness,fall asleep know feel laugh loud drag hell tonight quit exit
685,worry,god cant even catch public transport swine flu shit hous
686,worry,dad said trip uk cancel due da swine flu oop sorry bang
687,neutral,ask karma point plea
688,love,sahara alright
689,hate,mention mention wake earlier thought dad want take food noon
690,happiness,someone take la need see lemon tree
691,sadness,um think text mug subject line fail
692,sadness,tummy ach
693,surprise,math quiz meow allergic meow allergic
694,love,want see friend wink
695,worry,mention far away know
696,neutral,l said wipe slate clean jelly
697,happiness,mention one always work oh yeah still
698,neutral,mention unless invite come beta key go much help
699,neutral,mention live
700,sadness,mention sorry andrew wish cometh could
701,sadness,fish work eleven even allow cruz really dont want laugh loud
702,empty,anybody soon bore
703,sadness,mention charlton either plea die heart really sad
704,happiness,interest show say least recap tomorrow first must sleep work
705,worry,mention feel like hot box matter go still feel like hot box ice cream work n e
706,worry,sad plea get better grandma
707,worry,mention hugh hate every
708,worry,gosh today weather horriterr extreme hot lose lot water weight noth
709,worry,take moment reflect want antonym back fb safe say anth someone el noth friend
710,surprise,mention hey peter thank follow mani sydney pastor tweet shame iri pastor twitter behind
711,neutral,mention cant im sister hous net tone
712,neutral,damn hi casebook wrong add photo
713,surprise,abu bangui gary mimi mention bad dream
714,neutral,follow follow love pout plea
715,worry,mention aww annoy
716,neutral,mention dont even win b like box use
717,sadness,sleep darn frustrate
718,neutral,mention dint get see tonight
719,fun,rock hotel california mention song done stay next hmm careless whisper
720,sadness,mention one day lonely creep slap face
721,sadness,rip kelly fuck
722,worry,mention well vacant let go
723,worry,think im ignore best friend jake hate ignore b know thing go
724,love,mention love way end time go week voodoo sorry next week sure
725,neutral,nd last episode jay lend till never nite twitter
726,sadness,feel good
727,sadness,ok time odd gonna long day tomorrow say goodbye car good
728,neutral,akin aisha luck
729,worry,take nap work sleep right nap felt soon good seem like bad idea
730,worry,go home serious enough
731,enthusiasm,count minute dad g friend leave
732,sadness,miss oklahoma listen citizen cope til pas
733,neutral,ten emit
734,enthusiasm,mention mention fun miss guy lot
735,worry,mention make sad
736,neutral,play game watch straight people hook leave noth reason
737,neutral,mention yeah work today never mind one day sun sun sun
738,worry,feel like im go cough lung
739,sadness,funny kinda sad last day
740,neutral,mention think either remem
741,neutral,anyone got job live chat vid school saw joe hug tackle nick laugh loud
742,sadness,jenni fell asleep come
743,worry,mention love cannon
744,sadness,wish tea move night
745,worry,lost follow night nobody like
746,sadness,mention miss one year forbidden fruit tree garden munch disappoint one
747,worry,want new phone seen much cellphone commerce
748,worry,mention soo sad edge page gonna come cri
749,worry,time really need shut go sleep head ach badly really take
750,sadness,mention love know gna cut stuff tv
751,neutral,mention begun brag
752,sadness,mention im strict diet ugh feel like cheat one day ill throw every
753,worry,oh hub sick hope catch
754,neutral,mention ze franz friend think think creep stalker sommat mph
755,hate,take back horrible shoe mum made get urgh nasty footwear problem find shoe
756,worry,ran money r sad panda
757,neutral,find today first keep simply stupid
758,sadness,cal dachshund rescue found home foster pup max soo sad see leave
759,sadness,wow feel like ish really feel bad ignore hole wont overturn prop
760,sadness,work finish pm boohoo
761,sadness,wish tea move night
762,worry,mention gotta till next week way dubai
763,neutral,dont know tire today bye time bedi
764,empty,intentando intentarlo
765,sadness,may take drink feel massive hang still today
766,worry,really bad head ach gonna go bed might back may bye bye
767,worry,friend travel tale held farewell parti kinda disappoint would still sep fault
768,hate,night talk victor bore night gdr hate shit
769,enthusiasm,go die tomorrow night mention
770,neutral,mention ooh maggi goreng sum cant eat sore throat chin
771,hate,gonna get tri catch z high school tomorrow really suck wish grow
772,neutral,mention morn hon breakfast cant decide
773,sadness,sleep lost voice couple day ago
774,neutral,mention bf bubble swop employed event hr aa work double next week
775,sadness,sleep earlier dint get see matt
776,love,big day day xt launch amaze much free stuff edge telecom found phone want cnt afford yet tho
777,worry,mention oh yeah poorest person joke poor people
778,sadness,realize spell adore wrong tweeter mention must hate
779,neutral,mention gone
780,worry,mention oh well hope get better
781,worry,mention crew plea dont dont think could wrong number time
782,sadness,glow face complexion always pale
783,sadness,downloadfestiv lineup good thought awesome band festive miss dl
784,worry,watch gossip girl are need one tree hill season god slow
785,relief,mention cycle tho good health eat health eat contradict term
786,hate,soon kinda sick n tire b guy dish
787,love,mention hate fleetwood favorite band jealous ok still love aha
788,surprise,wish carlton game live stupid channel laugh loud
789,worry,early tomorrow head bed keep say go take midday nap happen week yet
790,neutral,up kenaan abut sama mention mention nih
791,empty,say morn everyone work min
792,love,bt game like year made attempt laugh loud yea luv f extent mention
793,neutral,pm friday left thursday sure
794,worry,mention sorry ya gotta let know book week
795,happiness,mention sahara oh man plea come pomona would love see everyday instead like year
796,worry,mention miss come michigan like wait till july
797,neutral,mention may good night sleep everyone
798,worry,farrar pipe assign due next week english homework
799,worry,forgot access card lazy fetch
800,neutral,mention yea tough keep go sometime sure worth
801,fun,mention disappoint aha
802,worry,mention hun okay see post exercise like mad eat sleep
803,sadness,oh tweetdeck malfunct il web find
804,sadness,mention sorry still sick know know guess peter present wink
805,sadness,mention adam bamberg new moon trailer good even bad call friday
806,worry,mention happen afraid miss large part story
807,neutral,work
808,neutral,mention hell ye late
809,worry,dell fx pc ip audio device teradici give hard time linx bantu jaunty kernel int load intel dr
810,sadness,got as kick tripoli laugh loud got bad card suck
811,fun,creeper ice cream social good time lar real girl sad move
812,worry,soon hot huff
813,worry,close distance close every seem distant
814,sadness,and noth one bite dust
815,worry,ahh let right one broke
816,enthusiasm,mention hey love ac see online yet cant wait buy look amaze
817,worry,mention thought dwell certain person
818,worry,ml work uniform wash line
819,worry,ohh shit realize still talk b like dat time
820,sadness,nd written fuck get le idea every day every day
821,worry,mention naw match laugh loud shenanigans discus thing
822,worry,mention part unfortun
823,worry,mention dude know person expert sorry cometh like went
824,worry,mention aww well randomly woke sleep mani thing mind
825,worry,mention baby miss
826,neutral,mention since obvious live alaska radio station get
827,hate,murder two fuck mouse cant sleep
828,neutral,oh noe hey taboo say
829,neutral,mention vcr
830,sadness,mention wish could time box project tie
831,worry,pancake always end soggy
832,worry,big rongji lunch ate work work le eat w h useless become
833,hate,kosovo sum like really sum hate rain ruin date
834,hate,work late night dell notebook dell quality gone hill warrant service suck poor people buy mac instead
835,surprise,wow hurt way work thought would
836,worry,none thought make sen sober
837,neutral,mention know right hope cometh come though
838,worry,cant sleep tomorrow must wake early
839,worry,mention body already develop mind mind refuse co over set schedule
